SK_ID_CURR,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE
100030,0,F,-10165,-3210,186642.73,1070339.49,39710.87,Secondary,Single / not married,House / apartment,Commercial associate,0.4142,0.5211,0.543,1,0.3043,0,0.9006,0.0531,0.29
100031,0,F,-9990,-5167,478258.27,2558630.91,139625.55,Incomplete higher,Married,House / apartment,Commercial associate,0.3545,0.6074,0.628,3,0.0046,0,0.8097,0.4238,4.94
100032,0,F,-16044,-2845,117767.99,177352.72,9326.24,Secondary,Married,House / apartment,Working,0.3229,0.5513,0.2573,2,0.1414,1,0.8567,0.0467,0.29
100033,0,M,-13936,-2870,111108.95,546933.73,23791.48,Secondary,Civil marriage,House / apartment,Working,0.3733,0.4672,0.8471,2,0.0015,1,0.8593,0.0076,0.1
100034,1,M,-22337,-10735,94129.33,396399.16,27851.98,Secondary,Civil marriage,House / apartment,Self-employed,0.3411,0.592,0.5229,0,0.1365,2,0.5969,0.0229,0.45
100035,0,M,-12776,-6926,206651.42,974180.29,39523.85,Higher education,Married,House / apartment,Commercial associate,0.4074,0.4503,0.5697,3,0.0353,1,0.7304,0.1102,1.88
100036,0,F,-13181,-10139,274014.08,729531.13,25325.08,Secondary,Single / not married,House / apartment,Pensioner,0.4958,0.4663,0.575,5,0.0493,2,0.5268,0.117,0.12
100037,0,M,-16761,-8420,138320.52,704643.67,59868.02,Secondary,Widow,Rented apartment,Working,0.5466,0.436,0.3964,1,0.2824,1,0.6907,0.1979,3.33
100038,0,F,-10747,-7856,92773.28,197880.65,12313.46,Incomplete higher,Civil marriage,Rented apartment,Commercial associate,0.4882,0.5828,0.3989,2,0.1073,2,0.5758,0.3569,6.41
100039,0,F,-22653,-6810,93576.57,518862.61,47523.86,Secondary,Single / not married,With parents,Working,0.6103,0.5146,0.5552,1,0.0366,1,0.628,0.0495,0.06
100040,0,F,-7495,-5651,210623.2,727693.57,69867.76,Higher education,Married,Municipal apartment,Working,0.5447,0.3963,0.4086,0,0.0392,4,0.8702,0.0813,1.31
100041,0,F,-22458,-3825,221635.58,438509.75,20914.68,Higher education,Married,Rented apartment,Working,0.4748,0.505,0.4355,1,0.1736,1,0.9516,0.2637,4.37
100042,0,F,-18434,-12985,198537.81,923816.35,65278.0,Lower secondary,Married,House / apartment,State servant,0.74,0.3518,0.5973,2,0.0598,2,0.8943,0.0775,0.62
100043,0,F,-23180,-5973,102126.72,330947.76,24078.68,Lower secondary,Married,House / apartment,Commercial associate,0.2167,0.3125,0.571,2,0.0908,3,0.6885,0.2149,2.85
100044,0,F,-12554,-12907,167324.23,442614.79,26540.79,Secondary,Single / not married,Municipal apartment,Pensioner,0.5155,0.6421,0.62,2,0.1566,2,0.7689,0.3903,3.64
100045,0,F,-23401,-11214,157027.65,708298.79,30524.13,Secondary,Civil marriage,Municipal apartment,Working,0.367,0.5631,0.2975,7,0.0376,0,0.92,0.1821,3.88
100046,0,F,-22746,-8801,166088.94,498377.06,34415.36,Secondary,Married,House / apartment,Working,0.5459,0.3676,0.3204,1,0.0202,1,0.6458,0.0689,0.71
100047,0,F,-15468,-12305,237823.92,588906.89,29926.65,Higher education,Married,House / apartment,Working,0.3537,0.7303,0.7004,1,0.0466,2,0.7657,0.075,1.84
100048,1,M,-12370,-9606,166537.79,701590.69,27249.84,Higher education,Married,House / apartment,Working,0.2306,0.4632,0.3256,3,0.0444,2,0.8887,0.7627,6.44
100049,0,F,-10824,-11910,213929.64,658215.07,68772.11,Secondary,Married,Rented apartment,Working,0.5217,0.5394,0.4952,1,0.2595,2,0.53,0.177,0.42
100050,0,F,-10010,-11628,152843.3,265585.73,22116.33,Secondary,Widow,House / apartment,Working,0.727,0.7232,0.4181,0,0.1825,3,0.7656,0.2799,0.52
100051,0,M,-17728,-9431,172648.96,435265.91,22184.8,Higher education,Single / not married,House / apartment,Self-employed,0.3145,0.6994,0.5757,3,0.3522,1,0.6966,0.136,1.96
100052,0,F,-24477,365243,208398.74,735405.17,52399.44,Secondary,Married,House / apartment,Pensioner,0.5931,0.5232,0.541,4,0.0025,1,0.8579,0.0922,1.0
100053,0,F,-17417,-11936,66076.23,269920.41,9406.09,Higher education,Married,House / apartment,Working,0.6558,0.3165,0.6926,1,0.1031,3,0.7014,0.3573,0.69
100054,0,M,-24555,-3283,123522.77,455725.31,47692.32,Secondary,Married,House / apartment,Commercial associate,0.3217,0.3144,0.6307,3,0.366,2,0.8702,0.0464,0.59
100055,0,F,-20816,-12798,113697.31,640625.1,42042.39,Higher education,Separated,House / apartment,State servant,0.7509,0.3338,0.4318,1,0.2029,2,0.7954,0.121,1.26
100056,0,F,-19551,-7349,103633.63,314765.11,38777.94,Higher education,Married,House / apartment,Working,0.6946,0.4802,0.4225,7,0.0637,1,0.7989,0.4106,7.66
100057,0,F,-20266,-1785,126585.31,683916.4,84222.78,Higher education,Married,House / apartment,Working,0.4945,0.6242,0.5346,4,0.1338,0,0.7026,0.122,0.46
100058,0,M,-23904,-2217,335111.21,1224503.77,129005.68,Secondary,Married,House / apartment,Commercial associate,0.5521,0.642,0.6734,2,0.0642,2,0.6308,0.0197,0.03
100059,0,F,-22646,-10953,91472.43,417662.2,24564.63,Secondary,Married,Rented apartment,Pensioner,0.4958,0.5279,0.2059,2,0.0474,3,0.7997,0.1384,1.04
100060,0,M,-10194,-11816,250835.62,985983.58,64281.94,Lower secondary,Separated,House / apartment,State servant,0.4757,0.5963,0.6629,3,0.052,4,0.8102,0.1456,2.52
100061,0,F,-17761,-9549,58362.08,116120.89,6708.57,Secondary,Single / not married,House / apartment,Working,0.5528,0.4394,0.3739,1,0.1488,3,0.5063,0.1163,2.53
100062,0,F,-15533,-9542,122493.5,416620.36,25963.06,Secondary,Widow,House / apartment,Working,0.6371,0.5145,0.2784,0,0.0102,2,0.6398,0.3964,0.55
100063,0,M,-23024,-12637,161057.09,730943.16,75739.75,Secondary,Married,House / apartment,Pensioner,0.668,0.5752,0.7847,2,0.0098,2,0.9586,0.1893,1.73
100064,0,F,-10951,365243,203296.8,557449.01,26133.24,Higher education,Married,Rented apartment,Pensioner,0.5109,0.391,0.4964,0,0.0231,5,0.7821,0.2387,1.97
100065,0,F,-21965,-12144,217765.62,650263.66,42718.08,Lower secondary,Separated,Municipal apartment,Working,0.3095,0.5626,0.4945,4,0.2957,2,0.5773,0.0707,0.14
100066,1,F,-15863,-1993,227826.8,1060562.27,53580.32,Higher education,Single / not married,With parents,Commercial associate,0.3227,0.4639,0.588,3,0.0619,5,0.5116,0.3596,2.74
100067,1,M,-23973,-11714,121564.61,583693.15,22778.06,Higher education,Married,House / apartment,Working,0.6067,0.4275,0.4251,3,0.2814,0,0.8868,0.2961,3.58
100068,0,F,-21450,-7448,114199.99,446887.61,15940.87,Secondary,Married,House / apartment,Working,0.3641,0.5031,0.5827,3,0.0684,2,0.8998,0.0044,0.05
100069,0,M,-13469,-11658,236070.73,1136327.8,41767.32,Secondary,Married,House / apartment,State servant,0.6095,0.695,0.6314,2,0.0867,2,0.8392,0.2857,5.89
100070,1,F,-22411,-10570,132558.94,701079.64,43665.25,Secondary,Married,House / apartment,Pensioner,0.3234,0.4119,0.339,0,0.0813,0,0.542,0.254,5.7
100071,0,F,-10652,365243,73011.52,276700.94,23286.5,Secondary,Married,House / apartment,Working,0.7001,0.7897,0.4732,1,0.0369,3,0.8512,0.0861,1.89
100072,0,M,-7374,-12663,78959.63,365576.5,18002.1,Secondary,Widow,House / apartment,Working,0.5952,0.635,0.7097,3,0.1197,0,0.6828,0.165,2.37
100073,0,F,-16364,-2207,88814.15,138121.35,5080.8,Secondary,Married,House / apartment,Pensioner,0.3622,0.8145,0.4896,2,0.0926,0,0.5577,0.0284,0.32
100074,0,F,-14266,-12459,193578.5,315859.95,12277.86,Incomplete higher,Married,House / apartment,Working,0.432,0.5461,0.7581,2,0.0036,1,0.6489,0.2852,4.71
100075,0,F,-9548,-5072,159266.5,670859.8,37177.23,Secondary,Married,Municipal apartment,Working,0.3784,0.3572,0.5992,1,0.0646,0,0.7922,0.1635,1.84
100076,0,F,-25078,-2949,215295.54,938849.09,37480.47,Secondary,Married,Rented apartment,Pensioner,0.5544,0.4462,0.368,2,0.1652,2,0.7861,0.3114,6.35
100077,1,F,-7998,-10514,116425.99,328555.99,27196.9,Higher education,Widow,Rented apartment,Working,0.3439,0.6287,0.2375,2,0.172,3,0.7795,0.5064,12.32
100078,1,F,-17839,-14341,160684.3,687650.69,80325.78,Higher education,Married,House / apartment,Working,0.164,0.3989,0.4216,4,0.2618,1,0.5822,0.1967,4.08
100079,0,F,-11968,-1282,207746.68,406721.81,14476.18,Secondary,Widow,House / apartment,Working,0.5057,0.4284,0.7813,2,0.0446,3,0.6404,0.0779,0.54
100080,0,M,-12597,-14327,124226.2,616426.91,21338.52,Secondary,Married,House / apartment,Commercial associate,0.3503,0.5688,0.7532,1,0.2941,5,0.9016,0.3029,4.77
100081,0,F,-11075,-5001,189326.13,584790.45,24387.77,Higher education,Single / not married,House / apartment,Commercial associate,0.4723,0.5767,0.6394,3,0.3115,0,0.5751,0.0766,1.64
100082,0,F,-14257,-14148,102328.22,416617.66,27014.33,Secondary,Widow,House / apartment,Pensioner,0.2552,0.5978,0.4503,2,0.2364,0,0.8693,0.1824,1.81
100083,1,F,-19235,-719,120610.35,712389.7,72355.87,Higher education,Widow,With parents,Self-employed,0.2903,0.539,0.567,3,0.0786,5,0.8393,0.0113,0.22
100084,1,M,-13069,-8958,119377.28,456556.03,52083.34,Secondary,Single / not married,House / apartment,Self-employed,0.2555,0.5383,0.3263,2,0.0401,1,0.4824,0.029,0.11
100085,0,F,-20206,-7802,76289.32,295240.15,34593.13,Secondary,Single / not married,With parents,State servant,0.3587,0.7211,0.4881,2,0.0513,3,0.8356,0.3425,7.91
100086,0,F,-15305,-12146,192496.81,378099.04,26155.45,Secondary,Married,House / apartment,Working,0.3603,0.6233,0.1616,4,0.4128,2,0.8264,0.1251,1.37
100087,0,M,-21343,-6888,113758.01,193340.53,13880.34,Secondary,Widow,House / apartment,Working,0.5689,0.4045,0.5598,3,0.4034,1,0.6202,0.4521,10.18
100088,0,M,-15249,-1110,148282.09,838074.02,61266.14,Higher education,Married,With parents,Working,0.4246,0.6367,0.3102,2,0.1063,3,0.7865,0.0402,0.38
100089,0,F,-13838,-2684,191838.79,1035751.75,37686.17,Higher education,Married,House / apartment,Commercial associate,0.3225,0.4687,0.6351,1,0.1878,2,0.494,0.2571,3.76
100090,1,F,-16365,-3729,188262.43,968973.57,82006.64,Higher education,Single / not married,House / apartment,Working,0.4566,0.2139,0.4786,2,0.0662,1,0.6517,0.3864,3.32
100091,0,M,-19579,-12721,212343.77,1268545.18,119707.54,Secondary,Married,House / apartment,Pensioner,0.623,0.665,0.5611,2,0.0321,1,0.6154,0.0869,1.9
100092,0,F,-15607,-1343,139501.83,270020.16,15976.18,Secondary,Married,House / apartment,Working,0.4692,0.3883,0.3603,5,0.1019,1,0.6353,0.0867,0.73
100093,1,F,-23506,-12249,116679.48,577075.18,22943.1,Incomplete higher,Married,With parents,Pensioner,0.3782,0.4547,0.6129,0,0.2738,0,0.8444,0.1496,1.18
100094,0,F,-16530,-7381,140949.22,282361.22,15351.86,Higher education,Single / not married,With parents,Pensioner,0.6192,0.3546,0.3213,0,0.1329,2,0.6707,0.0689,1.48
100095,1,F,-12594,-8253,58218.94,253629.14,11198.62,Incomplete higher,Married,House / apartment,Working,0.4186,0.7629,0.6252,3,0.0345,1,0.5509,0.4579,3.41
100096,1,F,-7800,-14085,66442.23,314320.67,14061.35,Secondary,Single / not married,House / apartment,Working,0.1825,0.424,0.5066,2,0.288,2,0.7796,0.0278,0.08
100097,0,M,-14320,-11199,71147.84,328763.93,28938.36,Higher education,Married,With parents,Working,0.1753,0.637,0.3306,3,0.1135,1,0.5441,0.0204,0.08
100098,1,F,-8273,-9477,85094.21,229071.52,9425.73,Higher education,Married,House / apartment,Working,0.2861,0.4877,0.3544,2,0.1061,2,0.6619,0.4581,3.43
100099,0,M,-7939,-12034,183482.73,1004556.9,94310.11,Secondary,Married,House / apartment,Commercial associate,0.708,0.2653,0.548,6,0.1472,2,0.6266,0.0703,0.52
100100,0,F,-13937,-6734,89499.34,362222.02,15295.77,Lower secondary,Married,House / apartment,Commercial associate,0.4806,0.4232,0.2598,4,0.0788,2,0.8356,0.0574,1.41
100101,0,F,-12492,-13593,119612.26,671111.07,23701.47,Secondary,Single / not married,Rented apartment,Working,0.581,0.49,0.5112,2,0.0244,0,0.6378,0.05,1.16
100102,0,F,-23127,-11575,300912.73,1053468.63,99880.56,Higher education,Married,House / apartment,Working,0.5511,0.2138,0.3859,4,0.0305,1,0.7971,0.0384,0.94
100103,0,F,-20358,-14264,121061.6,368431.98,34172.02,Higher education,Single / not married,With parents,Self-employed,0.4878,0.3675,0.3603,4,0.1003,1,0.7332,0.0274,0.64
100104,1,M,-21444,-8034,220937.15,1224812.41,41186.06,Higher education,Married,House / apartment,Working,0.4823,0.6368,0.425,3,0.0646,2,0.6158,0.1651,1.11
100105,1,F,-17055,-9382,88124.89,455672.07,15513.79,Secondary,Married,House / apartment,State servant,0.4481,0.4367,0.5417,2,0.0294,2,0.6191,0.2513,1.76
100106,0,M,-9270,-6681,131532.51,248254.34,13268.14,Secondary,Married,Rented apartment,Commercial associate,0.5007,0.4412,0.3101,2,0.0287,0,0.746,0.3328,7.52
100107,0,F,-22520,365243,87333.37,303403.03,26831.51,Secondary,Married,Municipal apartment,Commercial associate,0.267,0.4534,0.632,1,0.1037,2,0.7673,0.033,0.15
100108,0,F,-16150,-9188,122214.36,224971.29,10206.23,Secondary,Civil marriage,House / apartment,Commercial associate,0.4126,0.3664,0.31,3,0.0994,2,0.7169,0.065,1.43
100109,0,F,-14973,-2314,233787.88,1266159.97,64641.51,Higher education,Married,House / apartment,Working,0.4001,0.4653,0.545,1,0.023,3,0.7317,0.2595,4.85
100110,0,F,-18113,365243,56952.55,208023.88,12565.1,Secondary,Single / not married,House / apartment,Commercial associate,0.5494,0.7555,0.4756,1,0.1221,3,0.7638,0.0578,1.23
100111,0,M,-10227,-1944,187012.92,500609.25,20788.05,Higher education,Married,House / apartment,State servant,0.4168,0.6779,0.5415,0,0.0256,4,0.5119,0.1554,0.32
100112,0,F,-15906,-9366,167838.01,304816.96,22993.23,Secondary,Married,House / apartment,Commercial associate,0.6594,0.4539,0.2849,4,0.1091,4,0.653,0.2016,3.69
100113,0,F,-18134,-10211,106214.67,299386.72,11918.96,Secondary,Separated,House / apartment,Commercial associate,0.4795,0.7447,0.5769,4,0.021,3,0.6231,0.108,1.48
100114,0,F,-19775,-11718,66480.78,208838.03,9367.83,Higher education,Single / not married,House / apartment,Working,0.6509,0.4592,0.3561,0,0.1032,0,0.7149,0.0423,0.64
100115,0,M,-16245,-2239,153226.31,898951.55,85134.62,Higher education,Married,House / apartment,Pensioner,0.6021,0.208,0.3476,1,0.0956,0,0.714,0.2443,3.73
100116,1,F,-25136,-6751,110059.79,655462.87,37672.64,Higher education,Widow,House / apartment,Working,0.2495,0.4523,0.5798,1,0.644,2,0.7149,0.5173,8.32
100117,0,F,-25009,-5173,167371.62,599679.52,30919.53,Secondary,Civil marriage,House / apartment,Pensioner,0.5456,0.6055,0.5589,1,0.0768,1,0.727,0.1046,1.51
100118,0,F,-9025,-6059,149047.25,836468.16,45157.65,Incomplete higher,Single / not married,House / apartment,Working,0.5107,0.5982,0.5406,1,0.0608,0,0.4651,0.0556,1.01
100119,0,F,-8781,-13719,355392.61,1810491.19,98903.47,Higher education,Single / not married,House / apartment,Pensioner,0.3984,0.3922,0.4957,4,0.488,2,0.6315,0.0541,1.2
100120,0,F,-16520,-8156,129101.53,640689.84,25224.4,Lower secondary,Married,House / apartment,Working,0.596,0.2399,0.7178,1,0.016,3,0.8539,0.0055,0.02
100121,0,F,-22105,-6472,83874.46,227270.89,11420.43,Secondary,Widow,House / apartment,State servant,0.7173,0.2074,0.5603,0,0.0293,2,0.8153,0.1749,2.01
100122,0,F,-16463,-13209,162527.35,786850.57,60824.06,Secondary,Married,With parents,Working,0.171,0.5158,0.503,0,0.0238,1,0.5736,0.026,0.54
100123,0,F,-11182,-7765,166208.48,990582.87,47408.73,Higher education,Single / not married,House / apartment,State servant,0.7554,0.3739,0.4141,3,0.1287,0,0.8555,0.1422,1.82
100124,0,F,-17358,-6175,311001.55,1641984.6,113874.59,Higher education,Civil marriage,House / apartment,Working,0.6238,0.5459,0.5885,3,0.0347,0,0.8089,0.1192,2.48
100125,0,F,-24167,-7887,233120.6,918411.44,74687.37,Secondary,Single / not married,House / apartment,Working,0.4558,0.6662,0.346,4,0.0564,0,0.8382,0.1818,3.67
100126,0,F,-10286,365243,179203.82,269545.25,9020.03,Secondary,Married,House / apartment,Working,0.5679,0.4452,0.4727,2,0.2922,1,0.7636,0.2856,4.43
100127,0,M,-15267,-6610,329330.34,1052334.0,47998.49,Secondary,Married,House / apartment,State servant,0.564,0.5922,0.6618,2,0.0208,4,0.3847,0.1543,2.25
100128,1,F,-18717,-9010,76586.82,340310.03,22271.14,Higher education,Single / not married,House / apartment,Working,0.4201,0.4261,0.6589,4,0.0195,2,0.8173,0.0881,0.12
100129,0,F,-14333,-2609,103583.84,219950.18,15746.49,Secondary,Married,With parents,Working,0.481,0.3372,0.4854,6,0.159,1,0.5998,0.1491,2.58
100130,0,M,-8093,-180,88466.85,294201.01,17190.94,Higher education,Separated,House / apartment,Working,0.5534,0.6822,0.5026,1,0.2249,1,0.8059,0.0487,1.01
100131,0,M,-19276,-982,118848.47,558161.27,22316.32,Secondary,Separated,House / apartment,Working,0.5218,0.491,0.5749,3,0.2052,1,0.8559,0.3058,0.74
100132,0,F,-20554,-6952,69066.33,380632.26,15355.4,Secondary,Married,With parents,Pensioner,0.7094,0.2901,0.4851,3,0.118,4,0.6162,0.0087,0.06
100133,0,F,-19017,-10489,208841.95,972468.84,47701.97,Higher education,Single / not married,House / apartment,Working,0.5325,0.498,0.3771,3,0.0725,1,0.4659,0.0089,0.12
100134,0,M,-19160,-3073,130323.81,553582.8,21245.96,Secondary,Married,House / apartment,State servant,0.5747,0.5696,0.7543,2,0.0845,1,0.8724,0.0691,0.8
100135,0,M,-19045,-13768,65582.0,165046.91,8410.98,Lower secondary,Single / not married,With parents,Working,0.5157,0.7053,0.2069,3,0.0646,0,0.4961,0.045,0.45
100136,0,F,-13209,-2195,84240.54,380722.3,14914.27,Secondary,Separated,With parents,Working,0.179,0.3196,0.3961,1,0.1067,1,0.6864,0.1573,2.45
100137,0,F,-7597,-10166,174980.99,922696.5,35992.41,Incomplete higher,Married,Municipal apartment,Pensioner,0.5863,0.461,0.6306,1,0.0196,1,0.8006,0.0393,0.89
100138,0,F,-24988,-3422,233507.53,810372.0,39767.82,Secondary,Married,House / apartment,Pensioner,0.5347,0.5498,0.4256,3,0.343,2,0.763,0.2225,5.07
100139,0,F,-10957,-863,441618.64,2429251.27,201956.2,Higher education,Single / not married,House / apartment,State servant,0.4535,0.5216,0.3046,2,0.076,1,0.8761,0.0487,0.79
100140,0,F,-22122,-10401,731333.13,2211920.91,91524.08,Higher education,Married,House / apartment,Working,0.4467,0.3931,0.4573,1,0.0324,3,0.7244,0.0721,0.91
100141,0,M,-16969,-7563,184965.61,804024.11,30520.25,Higher education,Single / not married,House / apartment,Self-employed,0.5749,0.2886,0.5248,2,0.059,1,0.7775,0.0131,0.22
100142,0,F,-16949,-9159,85455.75,451674.02,22936.98,Secondary,Civil marriage,House / apartment,Commercial associate,0.6747,0.3611,0.7732,2,0.07,0,0.7604,0.0391,0.08
100143,0,F,-7675,-13745,45586.85,250498.29,10623.73,Secondary,Married,With parents,Working,0.7086,0.4123,0.6809,2,0.0016,4,0.7479,0.2143,0.87
100144,0,F,-25015,-7838,170628.05,615572.43,32822.73,Higher education,Married,Rented apartment,Working,0.7148,0.3569,0.4668,0,0.152,2,0.8985,0.0724,1.8
100145,0,M,-16753,-12283,94172.4,336473.88,41321.19,Secondary,Married,House / apartment,Working,0.5858,0.53,0.5012,2,0.1081,1,0.7385,0.0088,0.16
100146,0,F,-22146,-7230,117190.2,674346.23,26774.87,Secondary,Married,House / apartment,Commercial associate,0.6371,0.1545,0.3661,4,0.137,1,0.8125,0.2242,0.09
100147,0,F,-21210,-5096,105171.41,378502.96,21101.24,Secondary,Widow,With parents,Commercial associate,0.494,0.4422,0.6415,0,0.2608,0,0.9094,0.1733,2.76
100148,0,F,-9767,-5681,136293.38,206516.83,7070.22,Higher education,Single / not married,House / apartment,Commercial associate,0.5311,0.4206,0.7211,3,0.0344,1,0.6652,0.3122,1.09
100149,0,F,-24247,-5034,264683.26,974356.93,112937.06,Higher education,Single / not married,House / apartment,Working,0.6189,0.2415,0.5854,2,0.0781,3,0.6455,0.2412,4.04
100150,0,F,-17871,-12943,160552.57,677377.58,24985.77,Secondary,Single / not married,Rented apartment,Working,0.3913,0.4312,0.3046,3,0.0043,2,0.675,0.0695,0.94
100151,0,F,-10610,-7465,134962.31,654128.65,59419.76,Incomplete higher,Separated,With parents,Working,0.1383,0.3022,0.4971,2,0.0482,3,0.7398,0.332,3.05
100152,0,F,-17688,-13613,83315.55,154648.97,15831.34,Higher education,Separated,House / apartment,Commercial associate,0.35,0.4267,0.4151,5,0.0338,0,0.8262,0.1084,1.65
100153,0,F,-18323,-3668,58625.46,239715.28,14165.67,Secondary,Married,House / apartment,Pensioner,0.2727,0.2741,0.5866,2,0.1003,0,0.8826,0.2183,2.15
